Labs,Projects,Exams
60,91,49
100,89,89
100,99,85
100,100,89
100,58,55
100,58,42
83,61,86
100,94,95
83,96,84
100,99,97
100,94,96
100,78,58
100,93,80
100,99,95
100,99,80
100,77,100
100,96,85
100,94,92
40,38,26
100,100,100
100,100,99
100,99,43
100,76,72
100,97,94
100,89,39
100,93,83
100,99,92
100,99,98
100,100,99
100,66,81
100,99,88
67,27,2
100,94,98
100,99,93
60,96,14
83,32,83
100,100,95
100,97,97
100,93,85
100,100,51
100,98,98
100,79,93
83,57,53
100,100,87
100,98,73
80,31,86
100,88,98
100,100,98
100,100,97
100,99,101
83,99,74
100,99,98
80,40,54
100,100,84
100,93,67
100,81,55
100,93,50
100,100,95
100,99,90
100,90,92
100,93,72
100,100,101
100,100,98
100,65,83
100,99,78
80,99,94
100,95,91
50,23,9
100,93,90
100,99,94
80,100,98
100,44,91
100,91,90
100,82,70
100,96,92
100,67,35
100,85,47
100,95,68
100,99,36
100,98,97
100,98,97
100,100,101
100,78,75
100,98,92
100,99,89
100,99,98
100,92,83
100,100,99
83,99,98
100,99,87
100,99,99
100,99,97
100,100,94
100,94,93
100,89,92
83,96,96
100,98,70
100,99,93
80,100,100
100,90,83
100,84,76
100,91,84
100,82,90
100,99,85
100,83,78
100,53,68
100,100,87
100,77,59
100,99,100
100,100,99
100,96,83
100,90,80
100,92,90
80,100,92
100,77,82
100,98,93
100,91,40
100,99,89
100,81,94
100,98,87
100,99,94
100,96,94
100,100,79
20,33,0
100,91,94
100,100,100
80,93,99
50,28,30
100,99,80
100,98,94
100,95,99
100,91,86
83,74,77
100,49,91
100,100,97
100,98,46
80,94,95
100,98,100
100,100,91
100,92,88
100,80,90
100,100,91
100,99,92
100,91,93
100,95,72
100,65,58
100,100,67
83,59,41
100,94,99
80,95,96
100,98,98
100,92,83
80,50,0
100,75,96
100,66,74
100,99,94
100,94,90
100,96,96